 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
 5.58 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
 7.00 6.50 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
 7.08 7.00 3.83 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
 4.83 5.08 8.17 5.38 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
 2.17 5.75 6.67 6.92 4.92 0.00 0.00 0.00 0.00 0.00 0.00 0.00
 6.42 5.00 5.58 6.00 4.67 6.42 0.00 0.00 0.00 0.00 0.00 0.00
 3.42 5.50 6.42 6.42 5.00 3.92 6.17 0.00 0.00 0.00 0.00 0.00
 2.50 4.92 6.25 7.33 4.50 2.25 6.33 2.75 0.00 0.00 0.00 0.00
 6.08 6.67 4.25 2.67 6.00 6.17 6.17 6.92 6.17 0.00 0.00 0.00
 5.25 6.83 4.50 3.75 5.75 5.42 6.08 5.83 6.67 3.67 0.00 0.00
 4.75 3.00 6.08 6.67 5.00 5.58 4.83 6.17 5.67 6.40 6.92 6.92
















